,Crop,Year,Season,Area,Production,Yeild,Location,Temp,CloudCover,Evpt,MinTemp,MaxTemp,Prep,PASM,longitude,latitude
0,Arhar/Tur,1997,Kharif,32200,1100,0.03,TELANGANA-ADILABAD,28.2796,57.1088,4.994,23.5864,33.001,147.8874,66.16320889,78.52512,19.66522
1,Castor seed,1997,Kharif,2600,700,0.27,TELANGANA-ADILABAD,28.2796,57.1088,4.994,23.5864,33.001,147.8874,66.16320889,78.52512,19.66522
